# ZScaler Web Proxy Log - Incident Scenario - 2024-01-16
# Format: timestamp|action|login|dept|cip|sip|srv_dport|proto|url|urlcat|urlsupercat|urlclass|bytes_sent|bytes_received|riskscore|threatseverity|threatname|malwarecat|malwareclass|srcip_country|dstip_country|is_dst_cntry_risky|srvtlsversion|srvcertvalidationtype|is_sslselfsigned|is_sslexpiredca|bwthrottle|bwclassname
2024-01-16 07:01:11|ALLOW|jsmith@acmecorp.com|Engineering|192.168.1.101|142.250.80.46|443|HTTPS|google.com|Search Engines|Information Technology|General Surfing|512|2048|2|None|None|None|None|United States|United States|No|TLS1_3|EV|No|No|No|General Surfing
2024-01-16 07:03:33|ALLOW|jdoe@acmecorp.com|Sales|192.168.1.102|52.84.12.34|443|HTTPS|outlook.office365.com|Web Email|Productivity|Office Apps|256|4096|1|None|None|None|None|United States|United States|No|TLS1_3|EV|No|No|No|Office Apps
2024-01-16 07:05:45|ALLOW|mjones@acmecorp.com|Finance|192.168.1.103|17.253.144.10|443|HTTPS|apple.com|Technology|Information Technology|General Surfing|128|1024|3|None|None|None|None|United States|United States|No|TLS1_3|EV|No|No|No|General Surfing
2024-01-16 07:08:22|ALLOW|sbrown@acmecorp.com|HR|192.168.1.104|151.101.1.140|443|HTTPS|stackoverflow.com|Technology|Information Technology|General Surfing|512|8192|2|None|None|None|None|United States|United States|No|TLS1_3|OV|No|No|No|General Surfing
2024-01-16 07:11:03|ALLOW|jsmith@acmecorp.com|Engineering|192.168.1.101|142.250.80.46|443|HTTPS|drive.google.com|Cloud Storage|Productivity|Office Apps|256|2048|2|None|None|None|None|United States|United States|No|TLS1_3|EV|No|No|No|Office Apps
2024-01-16 07:14:44|ALLOW|jdoe@acmecorp.com|Sales|192.168.1.102|13.107.42.14|443|HTTPS|teams.microsoft.com|Collaboration|Productivity|Office Apps|1024|4096|1|None|None|None|None|United States|United States|No|TLS1_3|EV|No|No|No|Office Apps
2024-01-16 07:17:11|ALLOW|mjones@acmecorp.com|Finance|192.168.1.103|54.230.12.56|443|HTTPS|linkedin.com|Social Media|Social Networks|General Surfing|512|2048|2|None|None|None|None|United States|United States|No|TLS1_3|EV|No|No|No|General Surfing
# --- ANOMALY: Unknown device hitting known malware host repeatedly from risky country ---
2024-01-16 07:19:30|BLOCK|unknown@acmecorp.com|Unknown|192.168.1.200|185.234.219.20|80|HTTP|freefilehost.ru|Malware|Security|Privacy Risk|2048|0|97|Critical|Trojan.Downloader|Trojan|Sandbox|United States|Russia|Yes|None|None|No|No|No|General Surfing
2024-01-16 07:19:45|BLOCK|unknown@acmecorp.com|Unknown|192.168.1.200|185.234.219.20|80|HTTP|freefilehost.ru|Malware|Security|Privacy Risk|2048|0|97|Critical|Trojan.Downloader|Trojan|Sandbox|United States|Russia|Yes|None|None|No|No|No|General Surfing
2024-01-16 07:20:01|BLOCK|unknown@acmecorp.com|Unknown|192.168.1.200|185.234.219.20|80|HTTP|freefilehost.ru|Malware|Security|Privacy Risk|2048|0|97|Critical|Trojan.Downloader|Trojan|Sandbox|United States|Russia|Yes|None|None|No|No|No|General Surfing
2024-01-16 07:20:15|BLOCK|unknown@acmecorp.com|Unknown|192.168.1.200|185.234.219.20|80|HTTP|freefilehost.ru|Malware|Security|Privacy Risk|2048|0|97|Critical|Trojan.Downloader|Trojan|Sandbox|United States|Russia|Yes|None|None|No|No|No|General Surfing
2024-01-16 07:20:30|BLOCK|unknown@acmecorp.com|Unknown|192.168.1.200|185.234.219.20|80|HTTP|freefilehost.ru|Malware|Security|Privacy Risk|2048|0|97|Critical|Trojan.Downloader|Trojan|Sandbox|United States|Russia|Yes|None|None|No|No|No|General Surfing
2024-01-16 07:21:11|ALLOW|sbrown@acmecorp.com|HR|192.168.1.104|185.199.108.153|443|HTTPS|github.com|Technology|Information Technology|General Surfing|256|1024|2|None|None|None|None|United States|United States|No|TLS1_3|OV|No|No|No|General Surfing
2024-01-16 07:24:33|ALLOW|jsmith@acmecorp.com|Engineering|192.168.1.101|142.250.80.46|443|HTTPS|gmail.com|Web Email|Productivity|Office Apps|128|512|2|None|None|None|None|United States|United States|No|TLS1_3|EV|No|No|No|Office Apps
2024-01-16 07:27:55|ALLOW|jdoe@acmecorp.com|Sales|192.168.1.102|104.16.12.34|443|HTTPS|cloudflare.com|Technology|Information Technology|General Surfing|512|2048|2|None|None|None|None|United States|United States|No|TLS1_3|EV|No|No|No|General Surfing
2024-01-16 07:31:42|ALLOW|mjones@acmecorp.com|Finance|192.168.1.103|52.84.12.34|443|HTTPS|slack.com|Collaboration|Productivity|Office Apps|256|4096|2|None|None|None|None|United States|United States|No|TLS1_3|EV|No|No|No|Office Apps
# --- ANOMALY: Known user hitting malware download site, self-signed cert ---
2024-01-16 07:38:44|BLOCK|jsmith@acmecorp.com|Engineering|192.168.1.101|91.108.56.12|8080|HTTP|malware-downloads.net|Malware|Security|Privacy Risk|4096|0|95|Critical|Trojan.Downloader|Trojan|Sandbox|United States|China|Yes|TLS1_2|DV|Yes|Yes|No|General Surfing
2024-01-16 07:39:02|BLOCK|jsmith@acmecorp.com|Engineering|192.168.1.101|91.108.56.12|8080|HTTP|malware-downloads.net|Malware|Security|Privacy Risk|4096|0|95|Critical|Trojan.Downloader|Trojan|Sandbox|United States|China|Yes|TLS1_2|DV|Yes|Yes|No|General Surfing
2024-01-16 07:39:21|BLOCK|jsmith@acmecorp.com|Engineering|192.168.1.101|91.108.56.12|8080|HTTP|malware-downloads.net|Malware|Security|Privacy Risk|4096|0|95|Critical|Trojan.Downloader|Trojan|Sandbox|United States|China|Yes|TLS1_2|DV|Yes|Yes|No|General Surfing
2024-01-16 07:42:33|ALLOW|jdoe@acmecorp.com|Sales|192.168.1.102|142.250.80.46|443|HTTPS|youtube.com|Streaming|Entertainment/Recreation|Bandwidth Loss|512|16384|3|None|None|None|None|United States|United States|No|TLS1_3|EV|No|No|Yes|Entertainment
2024-01-16 07:45:22|ALLOW|mjones@acmecorp.com|Finance|192.168.1.103|17.253.144.10|443|HTTPS|apple.com|Technology|Information Technology|General Surfing|256|2048|2|None|None|None|None|United States|United States|No|TLS1_3|EV|No|No|No|General Surfing
2024-01-16 07:48:55|ALLOW|sbrown@acmecorp.com|HR|192.168.1.104|52.84.12.34|443|HTTPS|zoom.us|Collaboration|Productivity|Office Apps|1024|8192|2|None|None|None|None|United States|United States|No|TLS1_3|EV|No|No|No|Office Apps
2024-01-16 07:52:10|ALLOW|jsmith@acmecorp.com|Engineering|192.168.1.101|104.16.12.34|443|HTTPS|figma.com|Productivity|Productivity|Office Apps|512|4096|2|None|None|None|None|United States|United States|No|TLS1_3|OV|No|No|No|Office Apps
# --- ANOMALY: Sales user exfiltrating data via file transfer - policy violation, large upload, bandwidth throttled ---
2024-01-16 08:07:44|BLOCK|jdoe@acmecorp.com|Sales|192.168.1.102|203.45.67.89|443|HTTPS|file-transfer-pro.com|File Transfer|Business|Bandwidth Loss|524288|1024|62|Medium|None|None|None|United States|Netherlands|Yes|TLS1_2|OV|No|No|Yes|General Surfing
2024-01-16 08:08:12|BLOCK|jdoe@acmecorp.com|Sales|192.168.1.102|203.45.67.89|443|HTTPS|file-transfer-pro.com|File Transfer|Business|Bandwidth Loss|1048576|512|62|Medium|None|None|None|United States|Netherlands|Yes|TLS1_2|OV|No|No|Yes|General Surfing
2024-01-16 08:08:45|BLOCK|jdoe@acmecorp.com|Sales|192.168.1.102|203.45.67.89|443|HTTPS|file-transfer-pro.com|File Transfer|Business|Bandwidth Loss|2097152|256|62|Medium|None|None|None|United States|Netherlands|Yes|TLS1_2|OV|No|No|Yes|General Surfing
2024-01-16 08:09:20|BLOCK|jdoe@acmecorp.com|Sales|192.168.1.102|203.45.67.89|443|HTTPS|file-transfer-pro.com|File Transfer|Business|Bandwidth Loss|4194304|128|62|Medium|None|None|None|United States|Netherlands|Yes|TLS1_2|OV|No|No|Yes|General Surfing
2024-01-16 08:11:22|ALLOW|jsmith@acmecorp.com|Engineering|192.168.1.101|142.250.80.46|443|HTTPS|drive.google.com|Cloud Storage|Productivity|Office Apps|256|2048|2|None|None|None|None|United States|United States|No|TLS1_3|EV|No|No|No|Office Apps
2024-01-16 08:15:03|ALLOW|mjones@acmecorp.com|Finance|192.168.1.103|185.199.108.153|443|HTTPS|github.com|Technology|Information Technology|General Surfing|512|1024|2|None|None|None|None|United States|United States|No|TLS1_3|OV|No|No|No|General Surfing
2024-01-16 08:18:44|ALLOW|sbrown@acmecorp.com|HR|192.168.1.104|13.107.42.14|443|HTTPS|azure.microsoft.com|Cloud Services|Information Technology|Office Apps|256|3072|1|None|None|None|None|United States|United States|No|TLS1_3|EV|No|No|No|Office Apps
# --- ANOMALY: Internal network scan from rogue device ---
2024-01-16 08:25:31|BLOCK|unknown@acmecorp.com|Unknown|192.168.1.200|192.168.1.1|445|SMB|internal-router|Network Infrastructure|Network|Privacy Risk|64|0|85|High|Port.Scan|Adware|Sandbox|United States|United States|No|None|None|No|No|No|General Surfing
2024-01-16 08:25:32|BLOCK|unknown@acmecorp.com|Unknown|192.168.1.200|192.168.1.2|445|SMB|internal-server-01|Network Infrastructure|Network|Privacy Risk|64|0|85|High|Port.Scan|Adware|Sandbox|United States|United States|No|None|None|No|No|No|General Surfing
2024-01-16 08:25:33|BLOCK|unknown@acmecorp.com|Unknown|192.168.1.200|192.168.1.3|445|SMB|internal-server-02|Network Infrastructure|Network|Privacy Risk|64|0|85|High|Port.Scan|Adware|Sandbox|United States|United States|No|None|None|No|No|No|General Surfing
2024-01-16 08:25:34|BLOCK|unknown@acmecorp.com|Unknown|192.168.1.200|192.168.1.4|445|SMB|internal-server-03|Network Infrastructure|Network|Privacy Risk|64|0|85|High|Port.Scan|Adware|Sandbox|United States|United States|No|None|None|No|No|No|General Surfing
2024-01-16 08:25:35|BLOCK|unknown@acmecorp.com|Unknown|192.168.1.200|192.168.1.5|445|SMB|internal-server-04|Network Infrastructure|Network|Privacy Risk|64|0|85|High|Port.Scan|Adware|Sandbox|United States|United States|No|None|None|No|No|No|General Surfing
2024-01-16 08:25:36|BLOCK|unknown@acmecorp.com|Unknown|192.168.1.200|192.168.1.6|445|SMB|internal-server-05|Network Infrastructure|Network|Privacy Risk|64|0|85|High|Port.Scan|Adware|Sandbox|United States|United States|No|None|None|No|No|No|General Surfing
2024-01-16 08:25:37|BLOCK|unknown@acmecorp.com|Unknown|192.168.1.200|192.168.1.7|445|SMB|internal-server-06|Network Infrastructure|Network|Privacy Risk|64|0|85|High|Port.Scan|Adware|Sandbox|United States|United States|No|None|None|No|No|No|General Surfing
2024-01-16 08:25:38|BLOCK|unknown@acmecorp.com|Unknown|192.168.1.200|192.168.1.8|445|SMB|internal-server-07|Network Infrastructure|Network|Privacy Risk|64|0|85|High|Port.Scan|Adware|Sandbox|United States|United States|No|None|None|No|No|No|General Surfing
2024-01-16 08:28:19|ALLOW|jdoe@acmecorp.com|Sales|192.168.1.102|52.84.12.34|443|HTTPS|outlook.office365.com|Web Email|Productivity|Office Apps|512|4096|1|None|None|None|None|United States|United States|No|TLS1_3|EV|No|No|No|Office Apps
2024-01-16 08:31:55|ALLOW|mjones@acmecorp.com|Finance|192.168.1.103|104.16.12.34|443|HTTPS|trello.com|Productivity|Productivity|Office Apps|256|2048|2|None|None|None|None|United States|United States|No|TLS1_3|OV|No|No|No|Office Apps
# --- ANOMALY: Data loss - sensitive data uploaded to pastebin ---
2024-01-16 08:42:33|ALLOW|jdoe@acmecorp.com|Sales|192.168.1.102|45.33.32.156|443|HTTPS|pastebin.com|Data Loss|Security|Privacy Risk|10485760|512|78|High|DLP.SensitiveData|None|None|United States|United States|No|TLS1_3|OV|No|No|Yes|General Surfing
